date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:44:19	101/101	---M--	200	added ('OK')	text/plain	etag:%2265-56b4a951cd540%22	https://www.auric.city/robots.txt		(from )
07:44:19	94791/-1	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202019%2002:14:18%20GMT	https://www.auric.city/	/tmp/www.auric.city/www.auric.city/index.html	(from )
07:44:19	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-55eeeb09f2380%22	https://www.auric.city/images/favicon.ico	/tmp/www.auric.city/www.auric.city/images/favicon.ico	(from https://www.auric.city/)
07:44:20	2846/2846	---M--	200	added ('OK')	text/css	etag:%22b1e-5658da6d00cc0%22	https://www.auric.city/css/owl.carousel.css	/tmp/www.auric.city/www.auric.city/css/owl.carousel.css	(from https://www.auric.city/)
07:44:21	55149/55149	---M--	200	added ('OK')	text/css	etag:%22d76d-57b0532452b00%22	https://www.auric.city/css/style.css	/tmp/www.auric.city/www.auric.city/css/style.css	(from https://www.auric.city/)
07:44:22	114690/114690	---M--	200	added ('OK')	text/css	etag:%221c002-57b02555f1900%22	https://www.auric.city/css/auric.css	/tmp/www.auric.city/www.auric.city/css/auric.css	(from https://www.auric.city/)
07:44:23	2778/2778	---M--	200	added ('OK')	text/css	etag:%22ada-5658d9a0eab40%22	https://www.auric.city/css/form.css	/tmp/www.auric.city/www.auric.city/css/form.css	(from https://www.auric.city/)
07:44:24	1338/1338	---M--	200	added ('OK')	text/css	etag:%2253a-5658d898bfc00%22	https://www.auric.city/css/custom1.css	/tmp/www.auric.city/www.auric.city/css/custom1.css	(from https://www.auric.city/)
07:44:25	21946/21946	---M--	200	added ('OK')	text/css	etag:%2255ba-57b0256533d00%22	https://www.auric.city/css/custom.css	/tmp/www.auric.city/www.auric.city/css/custom.css	(from https://www.auric.city/)
07:44:26	93166/93166	---M--	200	added ('OK')	text/css	etag:%2216bee-5658d9db17480%22	https://www.auric.city/css/hover.css	/tmp/www.auric.city/www.auric.city/css/hover.css	(from https://www.auric.city/)
07:44:27	637/637	---M--	200	added ('OK')	text/css	etag:%2227d-57c31fda14680%22	https://www.auric.city/css/blog.css	/tmp/www.auric.city/www.auric.city/css/blog.css	(from https://www.auric.city/)
07:44:28	5621/5621	---M--	200	added ('OK')	text/css	etag:%2215f5-579e831f3fb40%22	https://www.auric.city/css/icomoon.css	/tmp/www.auric.city/www.auric.city/css/icomoon.css	(from https://www.auric.city/)
07:44:29	13912/13912	---M--	200	added ('OK')	application/javascript	etag:%223658-56c3c4ec627c0%22	https://www.auric.city/js/jquery.liMarquee.js	/tmp/www.auric.city/www.auric.city/js/jquery.liMarquee.js	(from https://www.auric.city/)
07:45:14	16404/16404	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202019%2002:14:29%20GMT	https://www.auric.city/apply-login	/tmp/www.auric.city/www.auric.city/apply-login.html	(from https://www.auric.city/)
07:45:45	11062/11062	---M--	200	added ('OK')	image/png	etag:%222b36-565b37f3feb00%22	https://www.auric.city/images/auriclogo.png	/tmp/www.auric.city/www.auric.city/images/auriclogo.png	(from https://www.auric.city/)
07:45:45	13854/13854	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202019%2002:15:41%20GMT	https://lms.auric.city/	/tmp/www.auric.city/lms.auric.city/index.html	(from https://www.auric.city/)
07:45:47	227496/227496	---M--	200	added ('OK')	application/javascript	etag:%22378a8-565b3cf6afd40%22	https://servicesappauric.auric.city/js/jquery-ui.min.js	/tmp/www.auric.city/servicesappauric.auric.city/js/jquery-ui.min.js	(from https://www.auric.city/)
